course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
1000,The Complete Data Analytics Bootcamp,,True,0,89196,4487,64,Beginner Level,25.6,2018-01-15T00:00:00Z,Business
1001,The Complete Data Analytics Bootcamp,,True,1999,55892,2807,162,Intermediate Level,8.2,2024-06-15T00:00:00Z,Business
1002,The Complete Data Analytics Bootcamp,,True,4999,10828,4542,170,Expert Level,35.2,2022-06-15T00:00:00Z,Business
1003,The Complete SQL for Analysts Bootcamp,,True,2999,21819,3052,201,Beginner Level,10.4,2020-02-15T00:00:00Z,Business
1004,The Complete SQL for Analysts Bootcamp,,True,0,30521,282,181,Intermediate Level,18.0,2018-04-15T00:00:00Z,Business
1005,The Complete SQL for Analysts Bootcamp,,True,4999,76984,3291,205,Expert Level,10.8,2019-09-15T00:00:00Z,Business
1006,The Complete Business Intelligence Bootcamp,,True,4999,69852,2079,303,Beginner Level,36.4,2018-02-15T00:00:00Z,Business
1007,The Complete Business Intelligence Bootcamp,,True,0,82459,2464,279,Intermediate Level,26.4,2019-06-15T00:00:00Z,Business
1008,The Complete Business Intelligence Bootcamp,,True,0,11726,4001,55,Expert Level,41.1,2022-03-15T00:00:00Z,Business
1009,The Complete Data Visualization Bootcamp,,True,2999,57922,4259,251,Beginner Level,6.8,2019-02-15T00:00:00Z,Business
1010,The Complete Data Visualization Bootcamp,,True,2999,9787,4231,141,Intermediate Level,13.1,2021-04-15T00:00:00Z,Business
1011,The Complete Data Visualization Bootcamp,,True,2999,56019,3387,259,Expert Level,36.6,2018-02-15T00:00:00Z,Business
1012,The Complete Spreadsheet Analytics Bootcamp,,True,4999,33242,637,246,Beginner Level,34.3,2024-09-15T00:00:00Z,Business
1013,The Complete Spreadsheet Analytics Bootcamp,,True,0,22079,3124,21,Intermediate Level,41.4,2020-08-15T00:00:00Z,Business
1014,The Complete Spreadsheet Analytics Bootcamp,,True,0,41604,488,45,Expert Level,25.4,2022-09-15T00:00:00Z,Business
1015,The Complete Data Engineering Bootcamp,,True,0,81683,691,234,Beginner Level,28.3,2022-09-15T00:00:00Z,IT & Software
1016,The Complete Data Engineering Bootcamp,,True,0,1720,3774,308,Intermediate Level,41.8,2018-09-15T00:00:00Z,IT & Software
1017,The Complete Data Engineering Bootcamp,,True,0,88038,4563,173,Expert Level,39.3,2018-03-15T00:00:00Z,IT & Software
1018,The Complete Big Data with Spark Bootcamp,,True,2999,66744,4022,148,Beginner Level,38.2,2024-01-15T00:00:00Z,IT & Software
1019,The Complete Big Data with Spark Bootcamp,,True,4999,74019,99,77,Intermediate Level,5.0,2023-03-15T00:00:00Z,IT & Software
1020,The Complete Big Data with Spark Bootcamp,,True,1999,87916,862,201,Expert Level,33.2,2024-07-15T00:00:00Z,IT & Software
1021,The Complete Building Data Pipelines Bootcamp,,True,1999,35470,1324,75,Beginner Level,17.3,2018-08-15T00:00:00Z,IT & Software
1022,The Complete Building Data Pipelines Bootcamp,,True,0,37085,2896,280,Intermediate Level,18.0,2024-09-15T00:00:00Z,IT & Software
1023,The Complete Building Data Pipelines Bootcamp,,True,4999,79957,4209,79,Expert Level,17.4,2022-04-15T00:00:00Z,IT & Software
1024,The Complete Data Warehousing Bootcamp,,True,2999,66969,2553,229,Beginner Level,15.0,2023-05-15T00:00:00Z,IT & Software
1025,The Complete Data Warehousing Bootcamp,,True,2999,61446,3639,246,Intermediate Level,29.0,2022-08-15T00:00:00Z,IT & Software
1026,The Complete Data Warehousing Bootcamp,,True,0,32592,3912,57,Expert Level,20.2,2023-04-15T00:00:00Z,IT & Software
1027,The Complete Streaming with Kafka Bootcamp,,True,0,73560,2061,82,Beginner Level,20.3,2024-08-15T00:00:00Z,IT & Software
1028,The Complete Streaming with Kafka Bootcamp,,True,2999,68827,3989,142,Intermediate Level,13.0,2018-05-15T00:00:00Z,IT & Software
1029,The Complete Streaming with Kafka Bootcamp,,True,4999,53924,2730,297,Expert Level,20.6,2018-04-15T00:00:00Z,IT & Software
1030,The Complete Machine Learning Bootcamp,,True,1999,64493,1817,159,Beginner Level,19.4,2018-07-15T00:00:00Z,Development
1031,The Complete Machine Learning Bootcamp,,True,0,11503,5285,239,Intermediate Level,7.4,2021-03-15T00:00:00Z,Development
1032,The Complete Machine Learning Bootcamp,,True,4999,3040,4438,46,Expert Level,42.0,2020-04-15T00:00:00Z,Development
1033,The Complete Deep Learning Bootcamp,,True,0,74420,1805,258,Beginner Level,30.0,2024-06-15T00:00:00Z,Development
1034,The Complete Deep Learning Bootcamp,,True,4999,52490,5877,121,Intermediate Level,5.0,2023-04-15T00:00:00Z,Development
1035,The Complete Deep Learning Bootcamp,,True,0,55557,4035,74,Expert Level,19.3,2020-08-15T00:00:00Z,Development
1036,The Complete Applied ML Bootcamp,,True,2999,32677,729,162,Beginner Level,37.3,2019-08-15T00:00:00Z,Development
1037,The Complete Applied ML Bootcamp,,True,2999,73348,103,284,Intermediate Level,39.9,2018-04-15T00:00:00Z,Development
1038,The Complete Applied ML Bootcamp,,True,2999,87526,4784,208,Expert Level,20.9,2022-06-15T00:00:00Z,Development
1039,The Complete Neural Networks Bootcamp,,True,0,70736,5673,114,Beginner Level,9.7,2023-08-15T00:00:00Z,Development
1040,The Complete Neural Networks Bootcamp,,True,1999,36454,392,47,Intermediate Level,24.1,2023-03-15T00:00:00Z,Development
1041,The Complete Neural Networks Bootcamp,,True,4999,15453,555,225,Expert Level,21.7,2022-01-15T00:00:00Z,Development
1042,The Complete ML Engineering Bootcamp,,True,4999,39474,4841,239,Beginner Level,14.2,2022-01-15T00:00:00Z,Development
1043,The Complete ML Engineering Bootcamp,,True,4999,38675,287,138,Intermediate Level,13.5,2020-08-15T00:00:00Z,Development
1044,The Complete ML Engineering Bootcamp,,True,1999,40819,4894,311,Expert Level,38.8,2021-02-15T00:00:00Z,Development
1045,The Complete MLOps Bootcamp,,True,4999,42747,4965,148,Beginner Level,3.0,2019-01-15T00:00:00Z,IT & Software
1046,The Complete MLOps Bootcamp,,True,4999,44187,2650,73,Intermediate Level,36.3,2020-07-15T00:00:00Z,IT & Software
1047,The Complete MLOps Bootcamp,,True,4999,67949,29,297,Expert Level,20.5,2018-04-15T00:00:00Z,IT & Software
1048,The Complete DevOps Bootcamp,,True,4999,16415,256,142,Beginner Level,30.4,2020-09-15T00:00:00Z,IT & Software
1049,The Complete DevOps Bootcamp,,True,4999,63742,3888,144,Intermediate Level,20.3,2019-07-15T00:00:00Z,IT & Software
1050,The Complete DevOps Bootcamp,,True,4999,19976,3678,295,Expert Level,21.4,2020-09-15T00:00:00Z,IT & Software
1051,The Complete Kubernetes in Production Bootcamp,,True,4999,51104,5456,97,Beginner Level,21.8,2018-03-15T00:00:00Z,IT & Software
